start_code,end_code,start_name,end_name,road_code,direction,distance
1010001,1010004,東京,東京本線,1010,下り,5.86
1010004,1010006,東京本線,東名川崎,1010,下り,0.83
1010006,1010016,東名川崎,横浜青葉,1010,下り,5.43
1010016,1010018,横浜青葉,横浜青葉ＪＣＴ,1010,下り,0.0
1010018,1010011,横浜青葉ＪＣＴ,港北ＰＡ,1010,下り,1.53
1010011,1010021,港北ＰＡ,横浜町田,1010,下り,5.2
1010021,1010023,横浜町田,綾瀬スマート,1010,下り,8.89
1010023,1010026,綾瀬スマート,海老名ＳＡ,1010,下り,2.41
1010026,1014001,海老名ＳＡ,海老名ＪＣＴ,1010,下り,2.48
1014001,1010031,海老名ＪＣＴ,厚木,1010,下り,1.13
1010031,1010033,厚木,伊勢原ＪＣＴ,1010,下り,4.79
1010033,1010036,伊勢原ＪＣＴ,秦野中井,1010,下り,9.45
1010036,1010041,秦野中井,中井ＰＡ,1010,下り,3.36
1010041,1010046,中井ＰＡ,大井松田,1010,下り,4.48
1010046,1010051,大井松田,鮎沢ＰＡ,1010,下り,12.24
1010051,1010056,鮎沢ＰＡ,足柄ＳＡ,1010,下り,6.96
1010056,1010061,足柄ＳＡ,御殿場,1010,下り,2.79
1010061,1010063,御殿場,御殿場ＪＣＴ,1010,下り,4.28
1010063,1010066,御殿場ＪＣＴ,駒門ＰＡ,1010,下り,2.32
1010066,1010071,駒門ＰＡ,裾野,1010,下り,2.97
1010071,1010076,裾野,沼津,1010,下り,9.2
1010076,1010081,沼津,愛鷹ＰＡ,1010,下り,2.59
1010081,1010086,愛鷹ＰＡ,富士,1010,下り,15.1
1010086,1010091,富士,富士川ＳＡ,1010,下り,5.62
1010091,1010096,富士川ＳＡ,由比ＰＡ,1010,下り,11.77
1010096,1010098,由比ＰＡ,清水ＪＣＴ,1010,下り,5.5
1010098,1010101,清水ＪＣＴ,清水,1010,下り,1.3
1010101,1010106,清水,日本平ＰＡ,1010,下り,7.24
1010106,1010108,日本平ＰＡ,日本平久能山スマート,1010,下り,2.77
1010108,1010111,日本平久能山スマート,静岡,1010,下り,3.22
1010111,1010116,静岡,日本坂ＰＡ,1010,下り,9.23
1010116,1010121,日本坂ＰＡ,焼津,1010,下り,1.84
1010121,1010123,焼津,大井川焼津藤枝スマート,1010,下り,7.59
1010123,1010126,大井川焼津藤枝スマート,吉田,1010,下り,4.14
1010126,1010131,吉田,牧之原ＳＡ,1010,下り,7.9
1010131,1010136,牧之原ＳＡ,相良牧之原,1010,下り,1.81
1010136,1010141,相良牧之原,菊川,1010,下り,5.05
1010141,1010146,菊川,掛川,1010,下り,6.0
1010146,1010151,掛川,小笠ＰＡ,1010,下り,2.25
1010151,1010156,小笠ＰＡ,袋井,1010,下り,8.8
1010156,1010161,袋井,磐田,1010,下り,4.21
1010161,1010166,磐田,遠州豊田ＰＡ,1010,下り,1.82
1010166,1010171,遠州豊田ＰＡ,浜松,1010,下り,4.67
1010171,1010176,浜松,三方原ＰＡ,1010,下り,4.86
1010176,1010181,三方原ＰＡ,浜松西,1010,下り,5.2
1010181,1010183,浜松西,舘山寺スマート,1010,下り,4.12
1010183,1010186,舘山寺スマート,浜名湖ＳＡ,1010,下り,2.81
1010186,1010191,浜名湖ＳＡ,三ヶ日,1010,下り,2.89
1010191,1010193,三ヶ日,三ヶ日ＪＣＴ,1010,下り,4.62
1010193,1010196,三ヶ日ＪＣＴ,新城ＰＡ,1010,下り,4.72
1010196,1010198,新城ＰＡ,豊橋ＰＡ,1010,下り,4.58
1010198,1010201,豊橋ＰＡ,豊川,1010,下り,3.33
1010201,1010206,豊川,赤塚ＰＡ,1010,下り,4.71
1010206,1010211,赤塚ＰＡ,音羽蒲郡,1010,下り,6.27
1010211,1010216,音羽蒲郡,美合ＰＡ,1010,下り,8.97
1010216,1010221,美合ＰＡ,岡崎,1010,下り,3.75
1010221,1010226,岡崎,豊田ＪＣＴ,1010,下り,9.8
1010226,1010231,豊田ＪＣＴ,豊田上郷ＳＡ,1010,下り,1.49
1010231,1010236,豊田上郷ＳＡ,豊田,1010,下り,4.63
1010236,1010241,豊田,東名三好,1010,下り,5.11
1010241,1010246,東名三好,東郷ＰＡ,1010,下り,2.15
