datetime,start_code,end_code,spec_datetime,spec_type,car_type
2022-03-05 00:00:01,214K056,1461160,2022-03-04 22:00:00,1,2
2022-03-05 00:00:11,6023031,1040026,2022-03-06 09:00:00,1,2
2022-03-05 00:00:16,1040158,1430016,2022-03-04 23:30:00,1,2
2022-03-05 00:00:23,1040001,1440036,2022-03-05 00:00:00,1,2
2022-03-05 00:00:26,214K056,1461160,2022-03-04 22:00:00,1,2
2022-03-05 00:00:29,1800036,1810051,2022-03-06 05:00:00,1,2
2022-03-05 00:00:29,1110240,1800111,2022-03-05 00:00:00,1,2
2022-03-05 00:00:31,6004016,1440031,2022-03-04 00:00:00,1,2
2022-03-05 00:00:39,6004016,1440031,2022-03-04 00:00:00,1,2
2022-03-05 00:00:40,6003016,1450500,2022-03-04 23:20:00,1,2
2022-03-05 00:00:40,6004016,1440031,2022-03-04 00:00:00,1,2
2022-03-05 00:00:42,214K056,1440036,2022-03-05 00:00:00,1,2
2022-03-05 00:00:43,1040158,1430016,2022-03-04 23:30:00,1,2
2022-03-05 00:00:46,1040158,1430016,2022-03-04 23:30:00,1,2
2022-03-05 00:00:47,6026041,1810106,2022-03-04 00:00:00,1,2
2022-03-05 00:00:48,6015006,1810036,2022-03-04 22:50:00,1,2
2022-03-05 00:00:49,1040158,1430016,2022-03-04 23:30:00,1,2
2022-03-05 00:00:50,1040158,1430016,2022-03-04 23:30:00,1,2
2022-03-05 00:00:51,1800001,1800141,2022-03-04 23:50:00,1,2
2022-03-05 00:00:51,1080321,1400011,2022-03-05 04:00:00,1,2
2022-03-05 00:00:53,1800141,1800091,2022-03-02 14:50:00,1,2
2022-03-05 00:00:53,1110250,1800036,2022-03-05 00:00:00,1,2
2022-03-05 00:00:54,1100013,1800111,2022-03-05 06:30:00,1,2
2022-03-05 00:00:58,214K041,1810016,2022-03-25 08:00:00,1,2
2022-03-05 00:00:59,1100031,1800076,2022-03-05 00:00:00,1,2
2022-03-05 00:01:00,1800061,1440031,2022-03-04 00:00:00,1,2
2022-03-05 00:01:05,1800061,1440031,2022-03-04 00:00:00,1,2
