year_k,month_k,day_k,rain_k
2021,4,1,0
2021,4,2,0
2021,4,3,0
2021,4,4,2.5
2021,4,5,0.5
2021,4,6,0
2021,4,7,0
2021,4,8,0
2021,4,9,0
2021,4,10,0
2021,4,11,0
2021,4,12,0
2021,4,13,1
2021,4,14,0.5
2021,4,15,0
2021,4,16,0
2021,4,17,29
2021,4,18,0.5
2021,4,19,0
2021,4,20,0
2021,4,21,0
2021,4,22,0
2021,4,23,0
2021,4,24,0
2021,4,25,0
2021,4,26,0
2021,4,27,0
2021,4,28,0
2021,4,29,12
2021,4,30,0.5
2021,5,1,2.5
2021,5,2,0
2021,5,3,0
2021,5,4,0
2021,5,5,0.5
2021,5,6,0
2021,5,7,1
2021,5,8,0
2021,5,9,0
2021,5,10,0
2021,5,11,0
2021,5,12,0
2021,5,13,0
2021,5,14,0
2021,5,15,0
2021,5,16,1.5
2021,5,17,1
2021,5,18,3.5
2021,5,19,7
2021,5,20,2.5
2021,5,21,5.5
2021,5,22,7.5
2021,5,23,0
2021,5,24,0
2021,5,25,0
2021,5,26,0
2021,5,27,24.5
2021,5,28,0
2021,5,29,0
2021,5,30,6
2021,5,31,6.5
2021,6,1,0.5
2021,6,2,0
2021,6,3,0
2021,6,4,11
2021,6,5,0
2021,6,6,0
2021,6,7,0
2021,6,8,0
2021,6,9,0
2021,6,10,0
2021,6,11,0
2021,6,12,0
2021,6,13,0
2021,6,14,12
2021,6,15,0
2021,6,16,79
2021,6,17,4.5
2021,6,18,0
2021,6,19,21.5
2021,6,20,4.5
2021,6,21,0
2021,6,22,0
2021,6,23,15.5
2021,6,24,42
2021,6,25,1
2021,6,26,0
2021,6,27,0
2021,6,28,0
2021,6,29,16.5
2021,6,30,4.5
2021,7,1,24
2021,7,2,35.5
2021,7,3,8
2021,7,4,18
2021,7,5,3.5
2021,7,6,0
2021,7,7,0
2021,7,8,7
2021,7,9,8.5
2021,7,10,27.5
2021,7,11,14
2021,7,12,1
2021,7,13,6.5
2021,7,14,4.5
2021,7,15,11.5
2021,7,16,0
2021,7,17,0
2021,7,18,0
2021,7,19,0
2021,7,20,0
