datetime,start_code,end_code,spec_datetime,spec_type,car_type
2021-06-11 00:00:04,1800076,1040241,2021-06-11 00:00:00,1,2
2021-06-11 00:00:04,6016066,1040116,2021-06-15 14:00:00,1,2
2021-06-11 00:00:04,1800111,1800026,2021-06-10 23:20:00,1,2
2021-06-11 00:00:06,5007001,1040086,2021-06-10 00:00:00,1,2
2021-06-11 00:00:08,6014001,1040014,2021-06-10 00:00:00,1,2
2021-06-11 00:00:08,1080116,6021036,2021-06-10 00:00:00,1,2
2021-06-11 00:00:09,1800051,1810036,2021-06-10 00:00:00,1,2
2021-06-11 00:00:13,1800051,1810036,2021-06-10 00:00:00,1,2
2021-06-11 00:00:17,1810006,6028030,2021-06-11 00:00:00,1,2
2021-06-11 00:00:18,6016066,1040116,2021-06-15 14:00:00,1,2
2021-06-11 00:00:18,1030141,5017021,2018-09-03 12:00:00,1,2
2021-06-11 00:00:19,1800051,1810036,2021-06-10 00:00:00,1,2
2021-06-11 00:00:21,213A006,1430071,2021-06-11 00:00:00,1,2
2021-06-11 00:00:21,205D570,1040236,2021-06-10 00:00:00,1,2
2021-06-11 00:00:22,1800051,1810036,2021-06-10 00:00:00,1,2
2021-06-11 00:00:24,1040171,1400146,2021-06-10 00:00:00,1,2
2021-06-11 00:00:25,205D570,1040236,2021-06-10 00:00:00,1,2
2021-06-11 00:00:28,1040171,1400146,2021-06-10 00:00:00,1,2
2021-06-11 00:00:28,1040061,1040086,2021-06-11 00:00:00,1,2
2021-06-11 00:00:29,1400011,1800111,2021-06-11 00:00:00,1,2
2021-06-11 00:00:29,213A006,1430071,2021-06-11 00:00:00,1,2
2021-06-11 00:00:46,1810001,1800016,2021-06-12 10:00:00,1,1
2021-06-11 00:00:48,1040361,1400101,2021-06-11 00:00:00,1,2
2021-06-11 00:00:50,214K066,1040051,2021-06-11 10:00:00,1,2
2021-06-11 00:00:50,1810086,1110200,2021-06-10 00:00:00,1,2
2021-06-11 00:00:52,1810001,1800036,2021-06-10 17:30:00,1,2
2021-06-11 00:00:52,6009021,1461150,2021-06-12 07:00:00,2,2
2021-06-11 00:00:54,1810001,1800016,2021-06-12 10:00:00,1,1
2021-06-11 00:00:54,1040361,1400101,2021-06-11 00:00:00,1,2
2021-06-11 00:00:55,1040246,1040216,2021-06-11 00:00:00,1,2
2021-06-11 00:00:55,1810001,1800016,2021-06-11 00:00:00,1,2
2021-06-11 00:00:56,1410036,1040361,2021-06-11 00:00:00,1,2
2021-06-11 00:01:03,1030116,5036010,2021-06-11 00:00:00,1,2
2021-06-11 00:01:04,6016066,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:01:18,1040306,1440036,2021-05-07 06:00:00,1,2
2021-06-11 00:01:19,1040086,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:01:19,1130006,1800006,2021-06-11 06:00:00,1,4
2021-06-11 00:01:25,1130006,1800006,2021-06-11 00:10:00,1,2
2021-06-11 00:01:26,7019011,1040076,2021-06-11 00:10:00,1,2
2021-06-11 00:01:27,1800016,1100083,2021-07-21 09:00:00,1,2
2021-06-11 00:01:30,1040086,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:01:31,1080293,9090110,2021-06-10 00:00:00,1,1
2021-06-11 00:01:31,1800076,1461230,2021-06-11 00:10:00,1,2
2021-06-11 00:01:35,1010046,1040171,2021-06-10 00:00:00,1,4
2021-06-11 00:01:37,205A006,1040366,2021-06-11 00:10:00,1,2
2021-06-11 00:01:38,1800016,1100083,2021-06-11 00:10:00,1,2
2021-06-11 00:01:42,1010046,1040171,2021-06-10 00:00:00,1,4
2021-06-11 00:01:43,1800001,5033011,2021-06-11 00:00:00,1,1
2021-06-11 00:01:43,1010046,1040171,2021-06-10 00:00:00,1,4
2021-06-11 00:01:48,1800036,214K071,2021-06-11 00:10:00,1,4
2021-06-11 00:01:55,1461050,1014006,2021-06-10 23:50:00,1,2
2021-06-11 00:01:56,6017016,1040376,2021-06-11 00:10:00,1,2
2021-06-11 00:01:58,205A006,1040366,2021-06-11 00:10:00,1,2
2021-06-11 00:02:00,205A006,1040366,2021-06-11 00:10:00,1,2
2021-06-11 00:02:02,1040076,1461080,2021-06-10 00:00:00,1,1
2021-06-11 00:02:02,214K096,1040106,2021-06-11 00:10:00,1,2
2021-06-11 00:02:06,1800016,1010061,2021-06-10 23:20:00,1,2
2021-06-11 00:02:09,1800016,5020001,2021-06-11 00:10:00,1,2
2021-06-11 00:02:11,6008016,1040146,2021-06-11 00:10:00,1,2
2021-06-11 00:02:13,6012021,5036010,2021-06-11 00:10:00,1,2
2021-06-11 00:02:14,6017016,1040376,2021-06-11 00:10:00,1,2
2021-06-11 00:02:20,1800016,1100083,2021-07-21 09:00:00,1,2
2021-06-11 00:02:40,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:02:49,6001086,1040076,2021-06-10 00:00:00,1,2
2021-06-11 00:02:51,1040376,1412001,2021-06-11 00:10:00,1,2
2021-06-11 00:02:52,214K091,1040016,2021-06-11 10:00:00,1,2
2021-06-11 00:02:53,1800016,1100083,2021-07-21 09:00:00,1,2
2021-06-11 00:02:53,6001086,1040076,2021-06-10 00:00:00,1,2
2021-06-11 00:03:06,1040376,1412001,2021-06-11 00:10:00,1,2
2021-06-11 00:03:07,1040376,1412001,2021-06-11 00:10:00,1,2
2021-06-11 00:03:07,1040376,1412001,2021-06-11 00:10:00,1,2
2021-06-11 00:03:12,1040076,214K051,2021-06-11 18:30:00,1,2
2021-06-11 00:03:14,1040201,1040366,2021-07-04 13:40:00,2,1
2021-06-11 00:03:18,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:03:19,214K216,1461090,2021-06-19 10:30:00,1,2
2021-06-11 00:03:19,1461150,5005031,2021-06-11 07:30:00,1,2
2021-06-11 00:03:20,6004046,1040086,2021-06-11 00:10:00,1,2
2021-06-11 00:03:20,213A006,1450460,2021-06-11 00:10:00,1,2
2021-06-11 00:03:22,214K096,1040106,2021-06-11 08:40:00,2,1
2021-06-11 00:03:22,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:03:24,1040376,1412001,2021-06-11 00:10:00,1,2
2021-06-11 00:03:26,213A006,1450460,2021-06-11 00:10:00,1,2
2021-06-11 00:03:26,1040456,204B011,2021-06-11 00:10:00,1,2
2021-06-11 00:03:26,1040026,1040106,2021-06-11 00:10:00,1,2
2021-06-11 00:03:28,1040201,1040366,2021-07-04 13:40:00,2,1
2021-06-11 00:03:28,1400006,1420041,2021-06-11 00:10:00,1,2
2021-06-11 00:03:30,1800001,1800131,2021-06-11 10:00:00,1,2
2021-06-11 00:03:31,1040026,1040106,2021-06-11 00:10:00,1,2
2021-06-11 00:03:34,1400006,1420041,2021-06-11 00:10:00,1,2
2021-06-11 00:03:34,1040201,1040366,2021-07-04 13:40:00,2,1
2021-06-11 00:03:42,1400006,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:03:45,1040361,1040326,2021-06-11 00:10:00,1,2
2021-06-11 00:03:48,1040361,1040326,2021-06-11 00:10:00,1,2
2021-06-11 00:03:48,1400006,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:03:50,1040361,1040326,2021-06-11 00:10:00,1,2
2021-06-11 00:03:51,1040361,1040326,2021-06-11 00:10:00,1,2
2021-06-11 00:03:54,1040361,1040326,2021-06-11 00:10:00,1,2
2021-06-11 00:03:58,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:04:02,6017031,5036010,2021-06-11 00:10:00,1,2
2021-06-11 00:04:03,6026011,1040106,2021-06-11 10:10:00,1,1
2021-06-11 00:04:08,6026011,1040106,2021-06-11 10:10:00,1,1
2021-06-11 00:04:08,1400006,1040116,2021-06-13 07:10:00,1,2
2021-06-11 00:04:10,6026011,1040106,2021-06-11 10:10:00,1,1
2021-06-11 00:04:14,1810061,1800006,2021-06-11 00:10:00,1,2
2021-06-11 00:04:14,1800076,1461230,2021-06-11 12:10:00,1,1
2021-06-11 00:04:17,1810061,1800006,2021-06-11 00:10:00,1,2
2021-06-11 00:04:22,1040046,1010061,2021-06-11 00:10:00,1,2
2021-06-11 00:04:25,1040186,1400141,2021-06-11 00:10:00,1,2
2021-06-11 00:04:27,1040376,1412001,2021-06-11 01:10:00,1,2
2021-06-11 00:04:37,1040376,1412001,2021-06-11 01:10:00,1,2
2021-06-11 00:04:37,1040376,1412001,2021-06-11 01:10:00,1,2
2021-06-11 00:04:39,214K026,1800186,2021-06-11 00:10:00,1,2
2021-06-11 00:04:42,1040026,1040106,2021-06-11 00:10:00,1,2
2021-06-11 00:04:49,1040076,1461080,2021-06-11 00:10:00,1,2
2021-06-11 00:04:50,214K051,1810036,2021-06-11 00:10:00,1,2
2021-06-11 00:04:53,1461080,1400101,2021-06-11 00:00:00,1,2
2021-06-11 00:04:55,1040076,1461080,2021-06-11 00:10:00,1,2
2021-06-11 00:04:55,1040076,1461080,2021-06-11 00:10:00,1,2
2021-06-11 00:04:56,214K106,1010201,2021-06-08 08:00:00,1,4
2021-06-11 00:04:57,1040201,1040366,2021-07-04 13:40:00,2,2
2021-06-11 00:04:59,1040076,1461080,2021-06-11 00:10:00,1,2
2021-06-11 00:05:00,214K091,1120011,2021-06-11 00:10:00,1,2
2021-06-11 00:05:00,1800006,1010076,2021-06-11 00:10:00,1,2
2021-06-11 00:05:04,1040011,5036010,2021-06-11 00:10:00,1,2
2021-06-11 00:05:04,1400006,1040121,2021-06-13 07:10:00,1,2
2021-06-11 00:05:06,1400041,1040161,2021-06-11 00:10:00,1,2
2021-06-11 00:05:06,1400041,1040161,2021-06-11 00:10:00,1,2
2021-06-11 00:05:07,1040201,1040366,2021-07-04 13:40:00,2,2
2021-06-11 00:05:07,6010006,1040126,2021-06-11 10:00:00,1,2
2021-06-11 00:05:08,1400006,1040121,2021-06-13 07:10:00,1,2
2021-06-11 00:05:12,1110330,1141040,2021-06-11 00:50:00,1,1
2021-06-11 00:05:12,1040201,1040366,2021-07-04 13:40:00,2,2
2021-06-11 00:05:18,7012026,1420066,2021-06-11 00:10:00,1,2
2021-06-11 00:05:18,1110390,1810036,2021-06-09 20:00:00,1,2
2021-06-11 00:05:19,1110290,1810101,2021-06-11 00:10:00,1,2
2021-06-11 00:05:23,1040061,1820021,2021-06-11 00:10:00,1,2
2021-06-11 00:05:26,5045010,1800091,2021-06-11 00:10:00,1,2
2021-06-11 00:05:27,1110330,1141040,2021-06-11 00:50:00,1,1
2021-06-11 00:05:28,1110280,1040086,2021-06-11 00:10:00,1,2
2021-06-11 00:05:31,1110280,1040086,2021-06-11 00:10:00,1,2
2021-06-11 00:05:31,1040016,1110200,2021-06-11 00:10:00,1,2
2021-06-11 00:05:33,1110330,1810046,2021-06-11 00:50:00,1,1
2021-06-11 00:05:37,1040016,1110200,2021-06-11 00:10:00,1,2
2021-06-11 00:05:39,1040016,1110200,2021-06-11 00:10:00,1,2
2021-06-11 00:05:41,1040031,212D006,2021-06-11 00:10:00,1,2
2021-06-11 00:05:42,1110330,1810046,2021-06-11 00:50:00,1,1
2021-06-11 00:05:45,1412006,5050010,2021-06-11 00:10:00,1,2
2021-06-11 00:05:45,1110330,1810046,2021-06-11 00:10:00,1,2
2021-06-11 00:05:49,1040016,1800001,2021-06-11 00:10:00,1,2
2021-06-11 00:05:50,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:05:54,5045010,1040116,2021-06-11 00:10:00,1,2
2021-06-11 00:05:55,214K051,1810036,2021-06-11 00:10:00,1,2
2021-06-11 00:05:56,1040016,1800001,2021-06-11 00:10:00,1,2
2021-06-11 00:05:58,1080306,1810036,2021-06-13 14:00:00,1,2
2021-06-11 00:06:01,1800028,214K031,2021-06-10 22:10:00,1,2
2021-06-11 00:06:03,1110330,1810046,2021-06-11 00:50:00,1,1
2021-06-11 00:06:06,6010006,1040126,2021-06-11 00:10:00,1,2
