date,start_code,end_code,search_unspecified
2021-04-08,1110210,1800006,3419.0
2021-04-09,1110210,1800006,2978.0
2021-04-10,1110210,1800006,2956.0
2021-04-11,1110210,1800006,2969.0
2021-04-12,1110210,1800006,2953.0
2021-04-13,1110210,1800006,3024.0
2021-04-14,1110210,1800006,3054.0
2021-04-15,1110210,1800006,2716.0
2021-04-16,1110210,1800006,2849.0
2021-04-17,1110210,1800006,2975.0
2021-04-18,1110210,1800006,3181.0
2021-04-19,1110210,1800006,3146.0
2021-04-20,1110210,1800006,3396.0
2021-04-21,1110210,1800006,2980.0
2021-04-22,1110210,1800006,2753.0
2021-04-23,1110210,1800006,2879.0
2021-04-24,1110210,1800006,3317.0
2021-04-25,1110210,1800006,3265.0
2021-04-26,1110210,1800006,3339.0
2021-04-27,1110210,1800006,3559.0
2021-04-28,1110210,1800006,3868.0
2021-04-29,1110210,1800006,3899.0
2021-04-30,1110210,1800006,4103.0
2021-05-01,1110210,1800006,4813.0
2021-05-02,1110210,1800006,4030.0
2021-05-03,1110210,1800006,3975.0
2021-05-04,1110210,1800006,3645.0
2021-05-05,1110210,1800006,3103.0
2021-05-06,1110210,1800006,2681.0
2021-05-07,1110210,1800006,2557.0
2021-05-08,1110210,1800006,2353.0
2021-05-09,1110210,1800006,2432.0
2021-05-10,1110210,1800006,2210.0
2021-05-11,1110210,1800006,2250.0
2021-05-12,1110210,1800006,2107.0
2021-05-13,1110210,1800006,2068.0
2021-05-14,1110210,1800006,2287.0
2021-05-15,1110210,1800006,2278.0
2021-05-16,1110210,1800006,2256.0
2021-05-17,1110210,1800006,1849.0
2021-05-18,1110210,1800006,2148.0
2021-05-19,1110210,1800006,1871.0
2021-05-20,1110210,1800006,2179.0
2021-05-21,1110210,1800006,2055.0
2021-05-22,1110210,1800006,2268.0
2021-05-23,1110210,1800006,2094.0
2021-05-24,1110210,1800006,2058.0
2021-05-25,1110210,1800006,2489.0
2021-05-26,1110210,1800006,2270.0
2021-05-27,1110210,1800006,2234.0
2021-05-28,1110210,1800006,2200.0
2021-05-29,1110210,1800006,2541.0
2021-05-30,1110210,1800006,2467.0
2021-05-31,1110210,1800006,2924.0
2021-06-01,1110210,1800006,2656.0
